train_loss,train_acc,test_loss,test_acc
1.905648212908478856e+00,3.208800000000000097e+01,1.490801893472671447e+00,4.650999999999999801e+01
1.498718908070908240e+00,4.608800000000000097e+01,1.365849214792251631e+00,5.042999999999999972e+01
1.315025086293135193e+00,5.295000000000000284e+01,1.384300465583801376e+00,5.297999999999999687e+01
1.197630882720508216e+00,5.745199999999999818e+01,1.072136028409004238e+00,6.189000000000000057e+01
1.094590371222142311e+00,6.137400000000000233e+01,1.134427552223205460e+00,6.035999999999999943e+01
1.029052466535202326e+00,6.375999999999999801e+01,1.071920187473297092e+00,6.165999999999999659e+01
9.640861827394237027e-01,6.616599999999999682e+01,8.772958809137344494e-01,6.915000000000000568e+01
9.196133282788269137e-01,6.757599999999999341e+01,9.072657495737075362e-01,6.834999999999999432e+01
8.777166690362994128e-01,6.904999999999999716e+01,9.378228199481963845e-01,6.740000000000000568e+01
8.431981041303375779e-01,7.055599999999999739e+01,9.935542654991149636e-01,6.662999999999999545e+01
8.144972546935995705e-01,7.173999999999999488e+01,8.779442214965820224e-01,6.957999999999999829e+01
7.894727851423766207e-01,7.227400000000000091e+01,7.645502394437789784e-01,7.343999999999999773e+01
7.635990183066834192e-01,7.351600000000000534e+01,9.228014785051346092e-01,6.921999999999999886e+01
7.411194254675179671e-01,7.436599999999999966e+01,7.073547124862671343e-01,7.554000000000000625e+01
7.172061483878309218e-01,7.502400000000000091e+01,7.922513329982757702e-01,7.260999999999999943e+01
7.044230827590083344e-01,7.535999999999999943e+01,8.996041774749755637e-01,6.973000000000000398e+01
6.850805410643672211e-01,7.621800000000000352e+01,6.827281001210212530e-01,7.679999999999999716e+01
6.600145781436539405e-01,7.712800000000000011e+01,7.748040527105330977e-01,7.329999999999999716e+01
6.540567373375758553e-01,7.729399999999999693e+01,7.502099263668060569e-01,7.431999999999999318e+01
6.390640926178153824e-01,7.784799999999999898e+01,7.742793819308281256e-01,7.384000000000000341e+01
6.277242063561363494e-01,7.832399999999999807e+01,7.852157106995583113e-01,7.429000000000000625e+01
6.134216422620026865e-01,7.875600000000000023e+01,7.623380795121192932e-01,7.434000000000000341e+01
5.963093527899984148e-01,7.944599999999999795e+01,7.674123722314835083e-01,7.432999999999999829e+01
5.890224957862473243e-01,7.948000000000000398e+01,7.382890656590461731e-01,7.448999999999999488e+01
5.860740491343886527e-01,7.955800000000000693e+01,6.275403624773026046e-01,7.915999999999999659e+01
5.652958212606132848e-01,8.030400000000000205e+01,7.085281112790107194e-01,7.668999999999999773e+01
5.621424674073143279e-01,8.061199999999999477e+01,6.011421722173690974e-01,7.989000000000000057e+01
5.510783257234431742e-01,8.097599999999999909e+01,6.547124198079109503e-01,7.792000000000000171e+01
5.429936273933371194e-01,8.118800000000000239e+01,6.273619890213012473e-01,7.868999999999999773e+01
5.369179650493289824e-01,8.137000000000000455e+01,6.479366528987884344e-01,7.792000000000000171e+01
4.727336126367759350e-01,8.351800000000000068e+01,5.417627999186516163e-01,8.162999999999999545e+01
4.502856950168414585e-01,8.442600000000000193e+01,5.602819386124611167e-01,8.103000000000000114e+01
4.459886563479747990e-01,8.434199999999999875e+01,5.487768530845642534e-01,8.159000000000000341e+01
4.343570800845885094e-01,8.491400000000000148e+01,6.651770916581153381e-01,7.812000000000000455e+01
4.243251643217433311e-01,8.534999999999999432e+01,6.396185782551765397e-01,7.915000000000000568e+01
4.223347495660147444e-01,8.523799999999999955e+01,5.711871135234832808e-01,8.089000000000000057e+01
4.163115338977340651e-01,8.551800000000000068e+01,5.419213187694549294e-01,8.200000000000000000e+01
4.123398533943669064e-01,8.573000000000000398e+01,5.589316457509994063e-01,8.126000000000000512e+01
4.032104147593383869e-01,8.614799999999999613e+01,5.602188175916671398e-01,8.184000000000000341e+01
4.007851327852824941e-01,8.628199999999999648e+01,5.606912991404533475e-01,8.143999999999999773e+01
3.922378264577187634e-01,8.633599999999999852e+01,5.728055724501609491e-01,8.151000000000000512e+01
3.913673228772400203e-01,8.642600000000000193e+01,5.762579664587974548e-01,8.107999999999999829e+01
3.888197954353468933e-01,8.632599999999999341e+01,5.758053237199782792e-01,8.081000000000000227e+01
3.834794290230402192e-01,8.671200000000000330e+01,5.390454834699630604e-01,8.200000000000000000e+01
3.799704109387629369e-01,8.685200000000000387e+01,5.638450226187705638e-01,8.143000000000000682e+01
3.678492728020528735e-01,8.731399999999999295e+01,6.000675570964812966e-01,8.095000000000000284e+01
3.669265783046517515e-01,8.731000000000000227e+01,5.482376071810722840e-01,8.190000000000000568e+01
3.653136592768037594e-01,8.720999999999999375e+01,5.627302724123001143e-01,8.187000000000000455e+01
3.597012375245618454e-01,8.756399999999999295e+01,5.789219707250594649e-01,8.135999999999999943e+01
3.568217068758157140e-01,8.739400000000000546e+01,5.409401038289070041e-01,8.221999999999999886e+01
3.552435843840889285e-01,8.761799999999999500e+01,6.301447069644927623e-01,7.990999999999999659e+01
3.432925537876460598e-01,8.805200000000000671e+01,5.265181797742843894e-01,8.254999999999999716e+01
3.409613389569475239e-01,8.813200000000000500e+01,5.485334846377373230e-01,8.215999999999999659e+01
3.406872007319384776e-01,8.812000000000000455e+01,5.292347338795662104e-01,8.273999999999999488e+01
3.398989105163632840e-01,8.821999999999999886e+01,6.280119284987449868e-01,7.993000000000000682e+01
3.286036998795731079e-01,8.850199999999999534e+01,5.647303524613380699e-01,8.209999999999999432e+01
3.283026732523423030e-01,8.852800000000000580e+01,5.672911727428435746e-01,8.210999999999999943e+01
3.208113367219105339e-01,8.875600000000000023e+01,5.755975419282912675e-01,8.176999999999999602e+01
3.190112790412000243e-01,8.887600000000000477e+01,5.653313201665878251e-01,8.234999999999999432e+01
3.146459927110720756e-01,8.894400000000000261e+01,6.065379652380943343e-01,8.101000000000000512e+01
2.704238562518373468e-01,9.067199999999999704e+01,5.316533605754375502e-01,8.359999999999999432e+01
2.515985005537567099e-01,9.128799999999999670e+01,5.258152809739112810e-01,8.367000000000000171e+01
2.476996615567170767e-01,9.136599999999999966e+01,5.217830136418342146e-01,8.404000000000000625e+01
2.401643827595674185e-01,9.184399999999999409e+01,5.329008993506431091e-01,8.367000000000000171e+01
2.360364675445629778e-01,9.182399999999999807e+01,5.580260610580444203e-01,8.312999999999999545e+01
2.285153784639085417e-01,9.214000000000000057e+01,5.457715976238250999e-01,8.379000000000000625e+01
2.281280809160693424e-01,9.222799999999999443e+01,5.376755532622337075e-01,8.398999999999999488e+01
2.264911371195102996e-01,9.219799999999999329e+01,5.451133465766906383e-01,8.368999999999999773e+01
2.193198048169045788e-01,9.234000000000000341e+01,5.418608850240707042e-01,8.385999999999999943e+01
2.222002878061035969e-01,9.238800000000000523e+01,5.472770008444786116e-01,8.387000000000000455e+01
2.208943037730653480e-01,9.241400000000000148e+01,5.353466795384883570e-01,8.406999999999999318e+01
2.120450365040308371e-01,9.271599999999999397e+01,5.470055636763572204e-01,8.379999999999999716e+01
